symbol,sector_code,sector_name
اتکام,66,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
البرز,66,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
دانا,66,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
ما,66,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
ملت,66,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
وآفری,66,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
وبصادر,57,بانكها و موسسات اعتباري
وبملت,57,بانكها و موسسات اعتباري
وتجارت,57,بانكها و موسسات اعتباري
وخاور,57,بانكها و موسسات اعتباري
وسینا,57,بانكها و موسسات اعتباري
ونوین,57,بانكها و موسسات اعتباري
وپارس,57,بانكها و موسسات اعتباري
وپاسار,57,بانكها و موسسات اعتباري
وپست,57,بانكها و موسسات اعتباري
وکار,57,بانكها و موسسات اعتباري
پارسیان,66,بيمه وصندوق بازنشستگي به جزتامين اجتماعي
