symbol,sector_code,sector_name,excluded_bank_or_insurance
آباد,55,هتل و رستوران,False
آبادا,40,عرضه برق، گاز، بخاروآب گرم,False
آلومینا,27,فلزات اساسي,False
آپ,72,رايانه و فعاليت‌هاي وابسته به آن,False
اتکام,66,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,True
اردستان,53,سيمان، آهك و گچ,False
اسیاتک,73,اطلاعات و ارتباطات,False
افق,47,خرده فروشي،باستثناي وسايل نقليه موتوري,False
البرز,66,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,True
امید,67,فعاليتهاي كمكي به نهادهاي مالي واسط,False
امین,67,فعاليتهاي كمكي به نهادهاي مالي واسط,False
انرژی,67,فعاليتهاي كمكي به نهادهاي مالي واسط,False
اپال,13,استخراج كانه هاي فلزي,False
بالبر,31,ماشين آلات و دستگاه‌هاي برقي,False
بترانس,31,ماشين آلات و دستگاه‌هاي برقي,False
برکت,43,مواد و محصولات دارويي,False
بسویچ,31,ماشين آلات و دستگاه‌هاي برقي,False
بشهاب,31,ماشين آلات و دستگاه‌هاي برقي,False
بموتو,31,ماشين آلات و دستگاه‌هاي برقي,False
بوعلی,44,محصولات شيميايي,False
بپویا,31,ماشين آلات و دستگاه‌هاي برقي,False
بکاب,31,ماشين آلات و دستگاه‌هاي برقي,False
بکام,31,ماشين آلات و دستگاه‌هاي برقي,False
تادیکو,01,زراعت و خدمات وابسته,False
تاصیکو,13,استخراج كانه هاي فلزي,False
تاپیکو,44,محصولات شيميايي,False
تایرا,29,ماشين آلات و تجهيزات,False
تملت,67,فعاليتهاي كمكي به نهادهاي مالي واسط,False
تنوین,67,فعاليتهاي كمكي به نهادهاي مالي واسط,False
تپمپی,29,ماشين آلات و تجهيزات,False
تکاردان,67,فعاليتهاي كمكي به نهادهاي مالي واسط,False
تکشا,29,ماشين آلات و تجهيزات,False
تکمبا,29,ماشين آلات و تجهيزات,False
تیپیکو,43,مواد و محصولات دارويي,False
ثاخت,70,انبوه سازي، املاك و مستغلات,False
ثامان,70,انبوه سازي، املاك و مستغلات,False
ثامید,70,انبوه سازي، املاك و مستغلات,False
ثبهساز,70,انبوه سازي، املاك و مستغلات,False
ثشاهد,70,انبوه سازي، املاك و مستغلات,False
ثشرق,70,انبوه سازي، املاك و مستغلات,False
ثفارس,70,انبوه سازي، املاك و مستغلات,False
ثمسکن,70,انبوه سازي، املاك و مستغلات,False
ثنوسا,70,انبوه سازي، املاك و مستغلات,False
ثپهران,70,انبوه سازي، املاك و مستغلات,False
جم,44,محصولات شيميايي,False
جم_پیلن,44,محصولات شيميايي,False
حتاید,60,حمل ونقل، انبارداري و ارتباطات,False
حتوکا,60,حمل ونقل، انبارداري و ارتباطات,False
حفاری,11,استخراج نفت گاز و خدمات جنبي جز اكتشاف,False
حپترو,60,حمل ونقل، انبارداري و ارتباطات,False
حکشتی,60,حمل ونقل، انبارداري و ارتباطات,False
خبهمن,34,خودرو و ساخت قطعات,False
ختراک,34,خودرو و ساخت قطعات,False
ختور,34,خودرو و ساخت قطعات,False
ختوقا,34,خودرو و ساخت قطعات,False
خراسان,44,محصولات شيميايي,False
خریخت,34,خودرو و ساخت قطعات,False
خرینگ,34,خودرو و ساخت قطعات,False
خشرق,34,خودرو و ساخت قطعات,False
خفنر,34,خودرو و ساخت قطعات,False
خمحرکه,34,خودرو و ساخت قطعات,False
خمحور,34,خودرو و ساخت قطعات,False
خمهر,34,خودرو و ساخت قطعات,False
خموتور,34,خودرو و ساخت قطعات,False
خنصیر,34,خودرو و ساخت قطعات,False
خودرو,34,خودرو و ساخت قطعات,False
خوساز,34,خودرو و ساخت قطعات,False
خپویش,34,خودرو و ساخت قطعات,False
خچرخش,34,خودرو و ساخت قطعات,False
خکار,34,خودرو و ساخت قطعات,False
خکمک,34,خودرو و ساخت قطعات,False
خگستر,34,خودرو و ساخت قطعات,False
دابور,43,مواد و محصولات دارويي,False
داتام,56,سرمايه گذاريها,False
داترا,43,مواد و محصولات دارويي,False
دارو,43,مواد و محصولات دارويي,False
دالبر,43,مواد و محصولات دارويي,False
دامین,43,مواد و محصولات دارويي,False
دانا,66,بيمه وصندوق بازنشستگي به جزتامين اجتماعي,True
دتماد,43,مواد و محصولات دارويي,False
دجابر,43,مواد و محصولات دارويي,False
ددام,43,مواد و محصولات دارويي,False
دزهراوی,43,مواد و محصولات دارويي,False
دسبحا,43,مواد و محصولات دارويي,False
دسبحان,43,مواد و محصولات دارويي,False
دسینا,43,مواد و محصولات دارويي,False
دشیمی,43,مواد و محصولات دارويي,False
دعبید,43,مواد و محصولات دارويي,False
دفارا,43,مواد و محصولات دارويي,False
دفرا,43,مواد و محصولات دارويي,False
دلر,43,مواد و محصولات دارويي,False
دلقما,43,مواد و محصولات دارويي,False
دپارس,43,مواد و محصولات دارويي,False
دکوثر,43,مواد و محصولات دارويي,False
دکیمی,43,مواد و محصولات دارويي,False
دیران,43,مواد و محصولات دارويي,False
ذوب,27,فلزات اساسي,False
رانفور,72,رايانه و فعاليت‌هاي وابسته به آن,False
رتاپ,72,رايانه و فعاليت‌هاي وابسته به آن,False
رمپنا,74,خدمات فني و مهندسي,False
رکیش,72,رايانه و فعاليت‌هاي وابسته به آن,False
زمگسا,01,زراعت و خدمات وابسته,False
زپارس,01,زراعت و خدمات وابسته,False
سآبیک,53,سيمان، آهك و گچ,False
ساربیل,53,سيمان، آهك و گچ,False
ساروم,53,سيمان، آهك و گچ,False
سبجنو,53,سيمان، آهك و گچ,False
سبهان,53,سيمان، آهك و گچ,False
ستران,53,سيمان، آهك و گچ,False
سخاش,53,سيمان، آهك و گچ,False
سخزر,53,سيمان، آهك و گچ,False
سخوز,53,سيمان، آهك و گچ,False
سدشت,53,سيمان، آهك و گچ,False
سدور,53,سيمان، آهك و گچ,False
سرود,53,سيمان، آهك و گچ,False
سشرق,53,سيمان، آهك و گچ,False
سشمال,53,سيمان، آهك و گچ,False
سصفها,53,سيمان، آهك و گچ,False
سصوفی,53,سيمان، آهك و گچ,False
سغرب,53,سيمان، آهك و گچ,False
سفار,53,سيمان، آهك و گچ,False
سفارس,53,سيمان، آهك و گچ,False
سفانو,53,سيمان، آهك و گچ,False
سقاین,53,سيمان، آهك و گچ,False
سمازن,53,سيمان، آهك و گچ,False
سنیر,53,سيمان، آهك و گچ,False
سهرمز,53,سيمان، آهك و گچ,False
سهگمت,53,سيمان، آهك و گچ,False
سپ,72,رايانه و فعاليت‌هاي وابسته به آن,False
سپاها,53,سيمان، آهك و گچ,False
سپید,01,زراعت و خدمات وابسته,False
سکرد,53,سيمان، آهك و گچ,False
سکرما,53,سيمان، آهك و گچ,False
سیتا,53,سيمان، آهك و گچ,False
سیدکو,53,سيمان، آهك و گچ,False
سیستم,72,رايانه و فعاليت‌هاي وابسته به آن,False
سیسکو,27,فلزات اساسي,False
سیلام,53,سيمان، آهك و گچ,False
سیمرغ,01,زراعت و خدمات وابسته,False
شارپیلن,44,محصولات شيميايي,False
شاملا,44,محصولات شيميايي,False
شبریز,23,فراورده هاي نفتي، كك و سوخت هسته اي,False
شبندر,23,فراورده هاي نفتي، كك و سوخت هسته اي,False
شبهرن,23,فراورده هاي نفتي، كك و سوخت هسته اي,False
شتران,23,فراورده هاي نفتي، كك و سوخت هسته اي,False
شدوص,44,محصولات شيميايي,False
شراز,23,فراورده هاي نفتي، كك و سوخت هسته اي,False
شستا,39,شركتهاي چند رشته اي صنعتي,False
شسپا,23,فراورده هاي نفتي، كك و سوخت هسته اي,False
شسینا,44,محصولات شيميايي,False
شغدیر,44,محصولات شيميايي,False
شفا,43,مواد و محصولات دارويي,False
شفن,44,محصولات شيميايي,False
شلعاب,44,محصولات شيميايي,False
شنفت,23,فراورده هاي نفتي، كك و سوخت هسته اي,False
شهر,56,سرمايه گذاريها,False
شوینده,44,محصولات شيميايي,False
شپارس,44,محصولات شيميايي,False
شپاکسا,44,محصولات شيميايي,False
شپدیس,44,محصولات شيميايي,False
شپنا,23,فراورده هاي نفتي، كك و سوخت هسته اي,False
شکربن,44,محصولات شيميايي,False
شکلر,44,محصولات شيميايي,False
شگستر,44,محصولات شيميايي,False
شگل,44,محصولات شيميايي,False
شیراز,44,محصولات شيميايي,False
شیران,44,محصولات شيميايي,False
صبا,56,سرمايه گذاريها,False
