کد خبره,حوزه تخصص,مدرک,سابقه,مؤلفه,ضرورت,ارتباط,وضوح,سادگی
E01,حسابداری مالی,کارشناسی ارشد,کمتر از ۵ سال,ارزش پیش‌بینی‌کنندگی,ضروری,4,4,4
E01,حسابداری مالی,کارشناسی ارشد,کمتر از ۵ سال,ارزش تأییدکنندگی,ضروری,4,3,4
E01,حسابداری مالی,کارشناسی ارشد,کمتر از ۵ سال,کامل بودن,مفید ولی غیرضروری,2,2,2
E01,حسابداری مالی,کارشناسی ارشد,کمتر از ۵ سال,بی‌طرفی,غیرضروری,2,2,2
E01,حسابداری مالی,کارشناسی ارشد,کمتر از ۵ سال,عاری بودن از خطای بااهمیت,غیرضروری,1,2,2
E01,حسابداری مالی,کارشناسی ارشد,کمتر از ۵ سال,قابلیت مقایسه,مفید ولی غیرضروری,3,3,3
E01,حسابداری مالی,کارشناسی ارشد,کمتر از ۵ سال,قابلیت تأیید,غیرضروری,1,2,2
E01,حسابداری مالی,کارشناسی ارشد,کمتر از ۵ سال,به‌موقع بودن,مفید ولی غیرضروری,2,2,2
E01,حسابداری مالی,کارشناسی ارشد,کمتر از ۵ سال,قابل‌فهم بودن,مفید ولی غیرضروری,3,3,3
E01,حسابداری مالی,کارشناسی ارشد,کمتر از ۵ سال,محافظه‌کاری حسابداری ـ مؤلفه تکمیلی,مفید ولی غیرضروری,2,2,2
E02,حسابرسی,دکتری,۱۱ تا ۲۰ سال,ارزش پیش‌بینی‌کنندگی,ضروری,4,4,4
E02,حسابرسی,دکتری,۱۱ تا ۲۰ سال,ارزش تأییدکنندگی,ضروری,4,4,4
E02,حسابرسی,دکتری,۱۱ تا ۲۰ سال,کامل بودن,مفید ولی غیرضروری,2,3,3
E02,حسابرسی,دکتری,۱۱ تا ۲۰ سال,بی‌طرفی,غیرضروری,2,2,2
E02,حسابرسی,دکتری,۱۱ تا ۲۰ سال,عاری بودن از خطای بااهمیت,مفید ولی غیرضروری,3,3,3
E02,حسابرسی,دکتری,۱۱ تا ۲۰ سال,قابلیت مقایسه,ضروری,4,4,4
E02,حسابرسی,دکتری,۱۱ تا ۲۰ سال,قابلیت تأیید,مفید ولی غیرضروری,3,3,3
E02,حسابرسی,دکتری,۱۱ تا ۲۰ سال,به‌موقع بودن,ضروری,3,4,4
E02,حسابرسی,دکتری,۱۱ تا ۲۰ سال,قابل‌فهم بودن,ضروری,3,4,4
E02,حسابرسی,دکتری,۱۱ تا ۲۰ سال,محافظه‌کاری حسابداری ـ مؤلفه تکمیلی,ضروری,3,4,4
E03,مدیریت مالی,دکتری,بیش از ۲۰ سال,ارزش پیش‌بینی‌کنندگی,مفید ولی غیرضروری,3,3,3
E03,مدیریت مالی,دکتری,بیش از ۲۰ سال,ارزش تأییدکنندگی,ضروری,4,4,4
E03,مدیریت مالی,دکتری,بیش از ۲۰ سال,کامل بودن,ضروری,3,4,4
E03,مدیریت مالی,دکتری,بیش از ۲۰ سال,بی‌طرفی,غیرضروری,1,2,2
E03,مدیریت مالی,دکتری,بیش از ۲۰ سال,عاری بودن از خطای بااهمیت,غیرضروری,2,2,2
E03,مدیریت مالی,دکتری,بیش از ۲۰ سال,قابلیت مقایسه,مفید ولی غیرضروری,3,3,3
E03,مدیریت مالی,دکتری,بیش از ۲۰ سال,قابلیت تأیید,غیرضروری,2,2,2
E03,مدیریت مالی,دکتری,بیش از ۲۰ سال,به‌موقع بودن,غیرضروری,1,1,1
E03,مدیریت مالی,دکتری,بیش از ۲۰ سال,قابل‌فهم بودن,ضروری,4,3,4
E03,مدیریت مالی,دکتری,بیش از ۲۰ سال,محافظه‌کاری حسابداری ـ مؤلفه تکمیلی,مفید ولی غیرضروری,2,3,3
E04,حسابرسی,دکتری,۱۱ تا ۲۰ سال,ارزش پیش‌بینی‌کنندگی,ضروری,4,4,4
E04,حسابرسی,دکتری,۱۱ تا ۲۰ سال,ارزش تأییدکنندگی,ضروری,3,4,4
E04,حسابرسی,دکتری,۱۱ تا ۲۰ سال,کامل بودن,مفید ولی غیرضروری,3,3,3
E04,حسابرسی,دکتری,۱۱ تا ۲۰ سال,بی‌طرفی,ضروری,3,4,4
E04,حسابرسی,دکتری,۱۱ تا ۲۰ سال,عاری بودن از خطای بااهمیت,مفید ولی غیرضروری,3,3,3
E04,حسابرسی,دکتری,۱۱ تا ۲۰ سال,قابلیت مقایسه,ضروری,3,4,4
E04,حسابرسی,دکتری,۱۱ تا ۲۰ سال,قابلیت تأیید,مفید ولی غیرضروری,3,3,3
E04,حسابرسی,دکتری,۱۱ تا ۲۰ سال,به‌موقع بودن,ضروری,3,4,4
E04,حسابرسی,دکتری,۱۱ تا ۲۰ سال,قابل‌فهم بودن,ضروری,3,4,4
E04,حسابرسی,دکتری,۱۱ تا ۲۰ سال,محافظه‌کاری حسابداری ـ مؤلفه تکمیلی,ضروری,3,4,4
E05,سایر,کارشناسی ارشد,بیش از ۲۰ سال,ارزش پیش‌بینی‌کنندگی,مفید ولی غیرضروری,3,3,3
E05,سایر,کارشناسی ارشد,بیش از ۲۰ سال,ارزش تأییدکنندگی,مفید ولی غیرضروری,3,3,3
E05,سایر,کارشناسی ارشد,بیش از ۲۰ سال,کامل بودن,مفید ولی غیرضروری,3,3,3
E05,سایر,کارشناسی ارشد,بیش از ۲۰ سال,بی‌طرفی,غیرضروری,1,2,2
E05,سایر,کارشناسی ارشد,بیش از ۲۰ سال,عاری بودن از خطای بااهمیت,مفید ولی غیرضروری,2,3,3
E05,سایر,کارشناسی ارشد,بیش از ۲۰ سال,قابلیت مقایسه,مفید ولی غیرضروری,2,3,3
E05,سایر,کارشناسی ارشد,بیش از ۲۰ سال,قابلیت تأیید,مفید ولی غیرضروری,2,3,3
