سمت/حرفه,سابقه حرفه‌ای,مدرک تحصیلی,حوزه تخصص,اطلاعات مالی منتشرشده توان پیش‌بینی جریان‌های نقدی آتی شرکت را افزایش می‌دهد.,اطلاعات مالی منتشرشده برای پیش‌بینی سودآوری آتی شرکت مفید است.,اطلاعات مالی امکان ارزیابی روند آتی عملکرد شرکت را فراهم می‌کند.,اقلام و نسبت‌های مالی گزارش‌شده برای برآورد ریسک‌های آتی شرکت مفید هستند.,اطلاعات مالی امکان ارزیابی صحت پیش‌بینی‌های قبلی را فراهم می‌کند.,اطلاعات مالی به اصلاح انتظارات قبلی استفاده‌کنندگان کمک می‌کند.,نتایج گزارش‌شده امکان مقایسه عملکرد واقعی با برآوردهای پیشین را فراهم می‌کند.,اطلاعات مالی بازخورد مناسبی درباره تصمیم‌های اقتصادی قبلی ارائه می‌دهد.,اطلاعات مالی، واقعیت اقتصادی معاملات و رویدادهای شرکت را به‌درستی منعکس می‌کند.,ارقام گزارش‌شده با شواهد و مدارک قابل اتکا پشتیبانی می‌شوند.,صورت‌های مالی آثار اقتصادی رویدادها را فراتر از شکل حقوقی آن‌ها نشان می‌دهند.,اطلاعات مالی از تحریف بااهمیت عاری است.,اطلاعات مالی بدون جهت‌گیری به نفع گروه خاصی از استفاده‌کنندگان ارائه می‌شود.,انتخاب و ارائه اطلاعات برای دستیابی به نتیجه از پیش تعیین‌شده انجام نمی‌شود.,برآوردهای حسابداری بدون جانبداری مدیریت انجام می‌شوند.,افشای اطلاعات مثبت و منفی شرکت به‌صورت متوازن انجام می‌شود.,در شرایط ابهام، برآوردهای حسابداری با رعایت احتیاط انجام می‌شوند.,دارایی‌ها و درآمدها بیش از واقع گزارش نمی‌شوند.,بدهی‌ها و هزینه‌ها کمتر از واقع گزارش نمی‌شوند.,رویه‌های حسابداری شرکت از خوش‌بینی غیرموجه جلوگیری می‌کنند.,تمام اطلاعات بااهمیت موردنیاز استفاده‌کنندگان در گزارش‌های مالی ارائه می‌شود.,یادداشت‌های توضیحی، اطلاعات لازم برای درک اقلام صورت‌های مالی را تکمیل می‌کنند.,اطلاعات بااهمیت از گزارش‌های مالی حذف نمی‌شود.,اطلاعات مربوط به ریسک‌ها، تعهدات و رویدادهای مهم به اندازه کافی افشا می‌شود.,اطلاعات مالی به‌صورت روشن و قابل درک ارائه می‌شود.,طبقه‌بندی و تجمیع اقلام مالی، درک اطلاعات را آسان می‌کند.,یادداشت‌های توضیحی برای استفاده‌کنندگان دارای دانش متعارف حسابداری قابل فهم است.,نحوه ارائه گزارش‌ها از پیچیدگی غیرضروری جلوگیری می‌کند.,اطلاعات مالی شرکت در دوره‌های مختلف قابل مقایسه است.,رویه‌های حسابداری شرکت از ثبات کافی در طول زمان برخوردار است.,تغییر رویه‌های حسابداری و آثار آن‌ها به‌طور مناسب افشا می‌شود.,اطلاعات مالی شرکت با شرکت‌های مشابه صنعت قابل مقایسه است.,اطلاعات مالی در زمانی منتشر می‌شود که هنوز برای تصمیم‌گیری مفید باشد.,فاصله پایان سال مالی تا انتشار گزارش‌ها در حد قابل قبول است.,اطلاعات مالی بدون تأخیر زیان‌بار در اختیار استفاده‌کنندگان قرار می‌گیرد.,اطلاعات مربوط به رویدادهای مهم بدون تأخیر غیرضروری افشا می‌شود.
سایر,کمتر از ۵ سال,کارشناسی ارشد,حسابداری مالی,5,5,5,5,5,5,5,3,3,4,2,1,1,5,2,3,5,2,2,3,3,4,3,2,3,4,4,4,4,3,3,4,3,3,3,3
حسابرس,۱۱ تا ۲۰ سال,دکتری,حسابرسی,4,4,5,5,4,4,4,5,3,3,4,4,3,4,2,2,4,4,4,4,3,4,4,2,4,4,4,4,4,5,4,4,4,4,4,4
مدیر مالی,بیش از ۲۰ سال,دکتری,مدیریت مالی,4,3,3,4,4,4,5,4,3,3,2,3,3,2,2,3,4,2,3,4,4,4,5,3,3,4,5,5,4,4,4,2,3,1,2,1
حسابرس,۱۱ تا ۲۰ سال,دکتری,حسابرسی,4,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,5,4,4,4,4,4
سایر,بیش از ۲۰ سال,کارشناسی ارشد,سایر,4,4,4,3,3,4,3,4,3,4,3,3,2,3,3,2,3,4,4,3,4,4,3,3,2,3,3,2,3,3,4,3,3,4,3,4
تحلیلگر مالی,بیش از ۲۰ سال,دکتری,حسابداری مالی,1,1,2,1,3,1,1,1,1,3,1,1,3,5,1,1,5,3,3,3,1,3,3,3,3,3,5,5,3,5,4,3,3,1,1,1
سایر,۱۱ تا ۲۰ سال,دکتری,بازار سرمایه,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,3,4,3,3,3,3,3,4,4,3,4,4,4,4,4,4,3,3
تحلیلگر مالی,بیش از ۲۰ سال,کارشناسی ارشد,مدیریت مالی,4,4,4,4,4,3,5,5,4,4,4,3,3,4,4,4,3,4,4,4,5,5,5,4,3,5,5,4,5,4,5,5,4,5,5,4
تحلیلگر مالی,۱۱ تا ۲۰ سال,کارشناسی ارشد,بازار سرمایه,4,4,4,4,2,4,4,4,4,3,3,2,1,3,4,3,3,4,4,4,3,3,4,4,3,4,3,3,4,4,4,4,4,4,4,3
حسابدار رسمی,بیش از ۲۰ سال,کارشناسی ارشد,حسابداری مالی,4,3,5,4,3,5,5,4,3,2,4,2,2,2,2,2,3,2,2,3,3,4,3,3,3,4,4,3,4,3,3,4,4,4,4,3
سایر,۱۱ تا ۲۰ سال,دکتری,حسابداری مالی,5,5,5,5,5,4,5,5,2,2,2,2,1,2,1,1,3,5,5,4,1,3,1,1,1,5,3,3,5,4,3,4,1,2,2,1
سایر,۱۱ تا ۲۰ سال,کارشناسی ارشد,حسابداری مالی,4,4,4,4,4,5,5,4,3,4,3,3,4,4,4,4,5,5,5,4,5,5,5,4,4,5,5,4,5,4,5,5,3,3,3,4
حسابرس,بیش از ۲۰ سال,کارشناسی ارشد,حسابرسی,4,4,5,5,4,4,4,4,2,5,3,1,3,5,3,2,4,3,4,3,3,4,4,3,3,5,5,4,5,3,3,2,3,3,1,2
حسابرس,۱۱ تا ۲۰ سال,دکتری,حسابداری مالی,4,4,4,5,4,4,4,4,5,5,4,2,2,2,2,2,4,2,4,4,2,4,2,3,4,4,4,5,4,5,5,5,4,5,5,5
سایر,۱۱ تا ۲۰ سال,دکتری,مدیریت مالی,4,3,3,4,3,4,5,5,1,1,4,2,2,4,1,1,4,3,2,3,2,4,2,2,2,4,2,2,3,2,2,3,1,2,1,1
