symbol,fiscal_year,company_name,predictive_value_score,confirmatory_value_score,faithful_representation_score,completeness_score,understandability_score,comparability_score,timeliness_score,conservatism_score,FIUI_primary_8,FIUI_equal_8,FIUI_PCA_8,FIUI_original_9
آباد,1393,توریستی ورفاهی آبادگران ایران,0.707548045216801,9.583444851202715e-10,0.7700527086264168,0.625,1.0,0.9252738376407008,0.9458128078817734,0.4706753621356393,46.34141073920893,68.05453453074594,67.59059654743658,47.57393749798262
آباد,1394,توریستی ورفاهی آبادگران ایران,0.0,0.3465672873390563,1.0,0.8181818181818182,0.8782521201667389,0.9252738376407008,0.922920892494929,0.1644427147373745,48.32877413517075,63.19548338200772,62.845953694065805,51.05199310829411
آباد,1396,توریستی ورفاهی آبادگران ایران,0.8826104529535382,0.1340920353324397,1.0,1.0,0.8329925017041601,0.5718468663493207,0.9329710144927535,1.0,60.39734051150714,79.43141088540266,80.08779644691582,62.16935840949378
آباد,1397,توریستی ورفاهی آبادگران ایران,0.9335512947671128,2.685766663480101e-09,1.0,1.0,1.0,0.9999999146141678,0.9593432369038312,1.0,60.478763966474055,86.16118061213598,86.32610528285328,62.063422080202415
آباد,1398,توریستی ورفاهی آبادگران ایران,0.9999998020888364,1.7038560924505534e-15,0.9844148599739262,0.7857142857142857,0.3098112039616214,0.9975278818855308,0.908817635270541,0.8466585051528378,50.04282301440411,72.91180217559476,72.09432090407,52.25292703128853
آباد,1399,توریستی ورفاهی آبادگران ایران,0.999999550235254,2.7607902206280225e-10,0.9999999941288816,0.75,0.3998488284202537,0.9898829811430456,0.986013986013986,0.8008913153891329,50.64538288692824,74.08295819508291,73.23166663202339,52.904299027829815
آباد,1400,توریستی ورفاهی آبادگران ایران,0.99999917169738,0.4435467089712011,0.8649491657913332,0.7272727272727273,0.0,1.0,0.9547079856972588,0.597882140101419,59.81263389649937,69.85447374414149,68.27397695563762,61.18318898395366
آباد,1401,توریستی ورفاهی آبادگران ایران,0.8826104529535383,5.332491227650461e-10,0.7821774095345428,0.925925925925926,0.7657384987893442,0.999953732693018,0.9212765957446808,0.7873671014137712,52.487796128435484,75.81312146985088,75.43748222652442,53.38689232925097
آبادا,1398,تولید نیروی برق آبادان,0.999999802097969,0.0189897794393701,0.9647655169021052,0.6428571428571429,0.5286908077994413,0.9683801565939821,0.9118236472945892,0.8180649147473645,51.41437158247694,73.16964709664956,72.50234135109903,53.433395637247315
آبادا,1399,تولید نیروی برق آبادان,0.3029257608180328,7.456591162626614e-11,0.9999999713828146,0.75,0.504157218442935,0.8072172225435126,0.9428904428904428,0.8008913005954161,40.768423493762775,63.8510239593465,63.80592555984632,43.61706240172592
